alpha,validation_accuracy,validation_macro_f1,validation_weighted_f1
1.5,0.7869994196169472,0.792812008373361,0.7865298273452432
0.25,0.7759721416134648,0.7870087044571077,0.7761171568876076
1.0,0.7730702263493906,0.7817393622362653,0.7731942854624303
1.75,0.7684271619268718,0.7791865633391394,0.7687938846864639
0.75,0.77539175856065,0.7766204056582904,0.7742799875771373
1.25,0.7626233313987232,0.7678162875907681,0.763869634912816
0.5,0.7603017991874638,0.7673754851501948,0.761342594833539
2.0,0.75507835171213,0.7645225054500843,0.7546123339944953
